Station Id,Station Name,Centre (Location),Business Domain,Total Project,Tags,Description,Project Domain,Title
8637,1Buy.Ai (Sharpbuy Global Solutions Pvt Ltd),New Delhi,CSIS/IT,2,"AnyA3,AnyA7,AnyA8,AnyAA,AnyAC,AnyAD,AnyB4,A3,A8,AA,B4,A7,AD,AC,AnyA3,AnyA7,AnyA8,AnyAA,AnyAC,AnyAD,AnyB4,A7,A8,AA,AC,AD,B4","Title: 1DataDescription: Data PlatformSkill sets: React.Js,Title: 1DataDescription:Skill sets: QA (Automation Testing)","Front end,QA","1Data,1Data"
8510,505 Army Base Workshop,Delhi,Others,1,"AA,A8,A7,A4,A3,A2,AB,A1,AnyAA,AnyA8,AnyA7,AnyA4,AnyA3,AnyA2,AnyAB,AnyA1",Details Awaited,Yet to be finalized,Details Awaited
8881,515 Army Base Workshop,Bengaluru,Mechanical,5,"AnyAA,AA,AnyA3,A3,AnyA4,A4,AnyA7,A7,AnyAB,AB","-,-,-,-,-",Mechanical,"Details awaited,Details awaited,Details awaited,Details awaited,Details awaited"
8861,ABC Consultant Pvt. Ltd.,PAN India,Finance and Mgmt,1,Any,-,Yet to be finalized,Details awaited
8635,Action For India,New Delhi,Finance and Mgmt,2,"AnyA7,A7,AnyA7,A7","Title: AI Startup Cohort DevelopmentDescription: This project involves supporting the design and development of an AI-focused startup cohort under AFI. Interns will help identify promising AI startups, define selection criteria, and assist in structuring the cohort program. The role includes market research on AI trends, mapping use cases across industries, and benchmarking similar accelerator/cohort programs globally. Interns will also contribute to creating program frameworks, mentorship structures, and engagement plans.Skill sets: Interest in Artificial Intelligence and emerging technologies Research and strategic thinking Data analysis and market mapping Communication and stakeholder coordination Problem-solving skillsExpected learning: Understanding of AI startup ecosystem and innovation landscape Exposure to cohort/accelerator program design Skills in market research and competitive analysis Experience in program structuring and executionSpecific courses required for project execution:&nbsp;Introduction to Artificial Intelligence / Machine Learning Data Analytics / Data Science (preferred) Strategy / Consulting fundamentals Entrepreneurship / Innovation Management,Title:Fundraising for Startups &amp; AFI (Sources of Funds Available)Description: This project focuses on identifying and mapping various fundraising avenues available for startups in India, particularly for early-stage and growth-stage companies. Interns will research funding sources such as venture capital, angel investors, government grants, incubators, accelerators, and alternative financing options. They will also analyze trends, investor preferences, and sector-specific funding opportunities. The project will support AFI initiatives by building a comprehensive fundraising knowledge base and actionable insights for startups.Skill sets:Research and analytical skills Understanding of startup ecosystem and funding landscape Data collection and interpretation Presentation and documentation skills Basic financial literacyExpected learning:Deep understanding of startup fundraising lifecycle Knowledge of different funding instruments and investor types Insights into Indian and global startup ecosystems Ability to create structured reports and actionable recommendationsSpecific courses required for project execution: Basics of Finance / Financial Markets Entrepreneurship / Startup Management Business Research Methods Excel / Data Analysis (preferred)",Artificial Intelligence,"AI Startup Cohort Development,Fundraising for Startups & AFI (Sources of Funds Available)"
8648,Adani Natural Resources,Ahmedabad,Finance and Mgmt,1,"AnyA7,AnyB4,A7,B4","	Description: Analytics or Finance related project SI‹iII sets: Coding / Financial understandingExpected learning: Working methodology in corporate house, Problem Solving Specific courses required for project execution: Mathematics, Coding",Data Science,Yet to be decided
4301,AdaptNXT Technology Solutions Pvt. Ltd - Non Tech,Bengaluru,CSIS/IT,1,Any,"Description: Students will assist in identifying potential business opportunities, conductingmarket research, and supporting outreach activities for B2B software solutions. This may includelead generation, industry analysis, and assisting in outreach campaigns.Skill: Strong written and verbal communication skills, Market research, Analytical thinking, CRMtools exposure, Presentation skills.Expected Learning: Students will gain practical exposure to B2B sales processes, SaaS businessmodels, and technology market analysis.",Business Development,Title: B2B Sales & Market Research
4408,AdaptNXT Technology Solutions Pvt. Ltd - Tech,Bengaluru,CSIS/IT,2,"Any,Any","Description: Students will work on the development and enhancement of web or mobileapplications by integrating AI capabilities. This may include building intelligent features such asAI chatbots, document processing, recommendation systems, or data-driven functionalities.Students may also work on integrating AI APIs and tools into existing software systems toimprove automation and user experience.Skill sets: Programming fundamentals, Any programming languages, AI/ML fundamentals,Prompt engineering, API integration, Problem-solving skills.Expected learning: Students will gain hands-on experience in building software applications withAI integration, understand practical use cases of AI in business applications, and learn thesoftware development lifecycle including development, testing, and deployment.Specific courses required for project execution: Programming Fundamentals, Web/MobileDevelopment, frameworks, Artificial Intelligence or Machine Learning basics.,Description: Students will design and implement automated workflows using platforms such asn8n or similar automation tools. The project may involve integrating different business systemssuch as CRM, email platforms, databases, and APIs to automate operational and businessprocesses.Skill sets: Workflow design, Logical thinking, API integration, Basic scripting, System integration.Expected learning: Students will learn how to automate business processes using low-code/no-code tools and understand system integrations between multiple platforms.Specific courses required for project execution: Basic Programming, API Concepts, SystemIntegration.","App website development using AI,Process Automation & Integration","Title: Software Application Development using AI,Title: Workflow Automation using Low-Code/No-Code Platforms"
6753,"Advanced Systems Laboratory, DRDO",Hyderabad,Mechanical,1,"AnyA3,AnyA8,AnyA4,AnyAA,AnyAB,A4,A3,A8,AA,AB",-,Yet to be finalized,Intern 
6874,AI Gurukul,Pilani,CSIS/IT,8,"AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7,A7,Any,Any","Title: CodeMixDescription: Multi-label identification of code-mixed languages using LLMs(Example Input: “Pareshan kyun kar rahe ho? I am frustrated” - Output: [Pareshan -urdu], [Kyun kar rahe ho - Hindi], [I am frustrated - English] )Skill sets: Python programming, Langchain LlamaIndex, Gen AIExpected learning: Understand working of Large Language ModelSpecific courses required for project execution: Python programming,Title: MemManageDescription: Memory management for VidyaRANG to personalise learner'sexperience.Skill sets: Python programming, Langchain LlamaIndex, Gen AIExpected learning: Understand the memory mechanism of LLMsSpecific courses required for project execution: Python Programming,Title: GenAIOpsDescription: Implementing CI/CD workflows and developing efficient codestandards for VidyaRANG development, deployment and production environmentshosted on GCP.Skill sets: Docker, Linux, PythonExpected learning: Deploy LLM solution to cloud platformsSpecific courses required for project execution: Python programming,Title: WorthYourBuckDescription: Evaluate and improve efficacy of VidyaRANG pipeline with opensource Large / Medium/ Small Language ModelsSkill sets: Utilise open source LLMs for text generationExpected learning: Optimize LLM workflowSpecific courses required for project execution: Python Programming,Title: KnowYourAudienceDescription: Tailoring answers based on learner's qualification and age.Skill sets: Data analysis, Databases, LLMsExpected learning: Analyze data based on LLM responsesSpecific courses required for project execution: Python programming,Titile : FineTuneDescription: LLM Finetuning for personalisation based on big 5 personaSkill sets : Python programming, data engineeringExpected Learning : Master the data processing and Finetune LLMsSpecific courses required for project execution: Python Programming,Title: Agent Safety and AutonomyDescription: Goal is to study safety and level of autonomy in agents applied to varied fields like Document intelligence, visual intelligence, workflows. All developments will go into an open source repo.Skill sets: Python, RAG, DSA, Shell / Bash scriptingExpected learning: Agentic AI understanding, LLM evals, AI safety,Title: Agentic high performance computingDescription: Goal is to use AI agents to parallelise / accelerate existing codes and evaluate the performance of the Agents on the task and the code. All developments will go into an open source repo.Skill sets: C++/ Python, Scientific Computing,(Can code up Gauss Seidel Iterations/ Singular Value Decomposition/Matrix Multiplication),&nbsp;some exposure to LLMs Expected learning: HPC, agentic AI","Data Science,IT,AI","CodeMix,MemManage,GenAIOps,WorthYourBuck,KnowYourAudience,FineTune,Agent Safety and Autonomy,Agentic high performance computing"
